Sequential book and chapter number,AB 1849 Printed number,AB 1849 Title,KdZ 1859 Printed number,KdZ 1859 Title,Diff,Filename,ABb1e1744 segment no for numbering,ABb1e1744 segment no for title,ABb1e958 segment no for numbering,ABb1e958 segment no for title,KZHb1 segment no for numbering,KZHb1 segment no for title,AB 1849 Title translation,KdZ 1859 Title translation
1,“Erstes Buch.”,“Oroonoko.”,“Erstes Buch.”,“Oroonoko.”,,vol. 1,86,87,86,87,86,88,“First Book. Oroonoko.”,“First Book. Oroonoko.”
1:1,1,Der Schwur,1,Der Schwur,,vol. 1,93,100,96,100,99,100,The Oath,The Oath
1:2,2,Imoinda,2,Sclavin und Herrin,x,vol. 1,737,739,738,739,739,741,Imoinda,Slave and Mistress
1:3,3,Taminko,3,Sclavenliebe,x,vol. 1,1257,1263,1259,1263,1263,1264,Taminko,Slave Love
1:4,4,Oroonoko,4,Der Sclavenkönig,x,vol. 1,1675,1681,1673,1681,1684,1685,Oroonoko,The Slave King
1:5,5,Die Erzählung,5,Verschwundenes Glück,x,vol. 1,2274,2275,2273,2275,2275,2278,The Story,Lost Happiness
1:6,6,Ein Schmerz,6,Eine Enttäuschung,x,vol. 1,3169,3173,3172,3173,3172,3173,A Pain,A Disappointment
1:7,7,Überwindung,7,Ein starkes Herz,x,vol. 1,3989,3996,3991,3996,3996,3997,Overcoming,A Strong Heart
1:8,8,Das Vermächtniß,8,Das Testament,x,vol. 1,4929,4930,4929,4930,4929,4930,The Legacy,The Testament
1:9,9,Der Aufstand,9,Die Empörung,x,vol. 1,5613,5615,5614,5615,5615,5619,The Uprising,The Outrage / Rebellion
1:10,10,Die Sclaven,10,Die vergebliche Warnung,x,vol. 1,6583,6585,6584,6585,missing from OCR,6592,The Slaves,The Futile Warning
1:11,11,Das Gericht,11,Die Hinrichtung,x,vol. 1,7277,7279,7278,7279,7277,7279,The Court,The Execution
1:12,12,Heimwärts!,12,Die Heimfahrt,x,vol. 1,8500,8502,8501,8502,8500,8503,Homeward!,The Journey Home
2,“Zweites Buch.”,“Die Restauration.”,“Zweites Buch.”,“Die Restauration.”,,vol. 2 part 1,90,91,18,19,90,91,“Second Book. The Restoration.”,“Second Book. The Restoration.”
2:1,1,König Karl II,1,König Karl II,,vol. 2 part 1,103,105,104,105,94,105,King Charles II,King Charles II
2:2,2,König und Priester,2,Verstellungskünste,x,vol. 2 part 1,823,826,825,826,825,826,King and Priest,Art of Deception
2:3,3,Die Abgeordneten der Anglicanischen Kirche,3,Die Abgeordneten der Anglicanischen Kirche,,vol. 2 part 1,1640,1649,1641,1649,1648,1649,The Representatives of the Anglican Church,The Representatives of the Anglican Church
2:4,4,Der wirkliche König von England,4,Der General Monk,x,vol. 2 part 1,2700,2703,2702,2703,2698,2699,The True King of England,General Monk
2:5,5,Die wirkliche Königin des wirklichen Königs von England,5,Die Generalin Monk,x,vol. 2 part 1,3238,3239,3254,3255,3231,3232,The True Queen of the True King of England,Generaless Monk
2:6,6,Die Bittsteller,6,Die Bittsteller,,vol. 2 part 2,1,2,1,2,1,2,The Supplicants,The Supplicants
2:7,6 (sic),Ein König von Gottes Gnaden,6 (sic),Der heimkehrende König,x,vol. 2 part 2,910,912,911,912,908,909,A King by the Grace of God,The Returning King
2:8,7,Aphra Behn,7,Aphra Behn,,vol. 2 part 2,2131,2132,2131,2132,2131,2132,Aphra Behn,Aphra Behn
2:9,8,Der Frauenbund,8,Die Jugendfreundinnen,x,vol. 2 part 2,3378,3379,3378,3379,3379,3398,The Women’s Union,The Childhood Female Friends
2:10,9,Die Einzug des Königs in London,9,Der Einzug des Königs in London,,vol. 2 part 2,4643,4645,4639,4645,4641,4645,The King’s March into London,The King’s March into London
2:11,10,Lady Castlemaine,10,Lady Castlemaine,,vol. 2 part 3,1,2,1,2,missing from OCR,2,Lady Castlemaine,Lady Castlemaine
2:12,11,Die erste Dichtung,11,Erinnerungspoesie,x,vol. 2 part 3,722,724,723,724,722,724,The First Poem,Memory Poetry
2:13,12,Das freie Weib,12,Armuth bezwingt,x,vol. 2 part 3,1279,1284,1280,1284,1283,1284,The Free Woman,Poverty Conquers
2:14,13,Das Budget,13,Das Budget,,vol. 2 part 3,1584,1586,1585,1586,1583,1586,The Budget,The Budget
2:15,14,Die Vorlesung,14,Die Vorlesung,,vol. 2 part 3,2585,2594,2586,2594,2593,2594,The Lecture,The Lecture
3,“Drittes Buch.”,“Die Dichterin Aphra Behn.”,“Drittes Buch.”,“Die Dichterin Aphra Behn.”,,vol. 3,87,88,87,88,87,88,“Third Book. The Poet Aphra Behn.”,“Third Book. The Poet Aphra Behn.”
3:1,1,Eine Königsbraut,1,Heirathspläne,x,vol. 3,99,99,98,99,91,92,A King’s Bride,Wedding Plans
3:2,2,Das Duell,[chapter cut],[chapter cut],x,vol. 3,856,858,857,858,,,The Duel,
3:3,3,Der Flüchtling,3 (sic),Der Flüchtling,,vol. 3,1363,1365,1364,1365,1176,1365,The Fugitive,The Fugitive
3:4,4,Die Camarilla,4,Lady Castlemaine,x,vol. 3,1775,1777,1777,1777,1777,1778,The Camarilla / Cronies,Lady Castlemaine
3:5,4,Die Camarilla,5,Leben oder Tod,x,vol. 3,1775,1777,1777,1777,2491,2492,The Camarilla / Cronies,Life or Death
3:6,5,Die Hinrichtung,6,Henry Vane,x,vol. 3,3133,3134,3130,3134,3134,3135,The Execution,Henry Vane
3:7,6,Der Warner,6 (sic),Der Warner,,vol. 3,3729,3731,3730,3731,3728,3731,The Monitor,The Monitor
3:8,7,Die Vermählung,7,Die Königin,x,vol. 3,4333,4334,4330,4334,4332,4334,The Marriage,The Queen
3:9,8,Schöne Träume,8,Schöne Träume,,vol. 3,5049,5050,5049,5051,5049,5050,Beautiful Dreams,Beautiful Dreams
3:10,9,Der Verräther,9,Der Verräther,,vol. 3,5576,5577,5567,5577,5575,5577,The Traitor,The Traitor
3:11,10,Der Staatsschatz,10,Der Verkauf Dünkirchen’s,x,vol. 3,6771,6785,missing from OCR,6785,6784,6785,The Treasury,The Sale of Dunkirk
3:12,11,Die Enttäuschung,11,Die Enttäuschung,,vol. 3,7152,7156,7153,7156,7155,7156,The Disillusionment,The Disillusionment
3:13,12,Das Hoffest,12,Das Hoffest,,vol. 3,7617,7621,7619,7621,7619,7621,The Court Feast,The Court Feast
3:14,13,Die Freundinnen,13,Die Freundinnen,,vol. 3,8357,8358,8357,8358,8357,8358,The Female Friends,The Female Friends
3:15,14,Die Gesandtin,14,Die Gesandtin,,vol. 3,9121,9126,9123,9126,9125,9126,The Female Envoy,The Female Envoy
3:16,15,Die Trauung,15,Die Strafe des Verräthers,x,vol. 3,9642,9644,9643,9644,9644,9646,The Wedding Ceremony,The Traitor’s Punishment
3:17,16,Das Nerofest,16,Der Brand der Flotte,x,vol. 3,10119,10121,10120,10121,10117,10118,Nero’s Feast,The Fleet on Fire
3:18,17,Schluß,17,Schluß,,vol. 3,10862,10863,10862,10863,10862,10863,Conclusion,Conclusion
